exp_id,article_id,time,page_id,user,sentence_id,word,word_understand,sentence_understand,mind_wandering,reading_times,number_of_fixations,fixation_duration,fixation_duration_div_syllable,fixation_duration_div_length,fixation_duration_diff,number_of_fixations_diff,reading_times_diff
1181,22,0,2016,qxy,0,will,1,1,1,1,1,213,213.0,53.25,-345,-1,0
1181,22,0,2016,qxy,0,need,1,1,1,0,0,0,0.0,0.0,-213,-1,-1
1181,22,0,2016,qxy,0,to,1,1,1,0,0,0,0.0,0.0,0,0,0
1181,22,0,2016,qxy,0,be,1,1,1,0,0,0,0.0,0.0,0,0,0
1181,22,0,2016,qxy,0,constantly,1,1,1,0,0,0,0.0,0.0,0,0,0
1181,22,0,2016,qxy,0,upskilling,1,1,1,1,1,796,398.0,79.6,796,1,1
1181,22,0,2016,qxy,0,throughout,1,1,1,1,1,207,103.5,20.7,-589,0,0
1181,22,0,2016,qxy,0,their,1,1,1,0,0,0,0.0,0.0,-207,-1,-1
1181,22,0,2016,qxy,0,career,1,1,1,0,0,0,0.0,0.0,0,0,0
1181,22,0,2016,qxy,0,to,1,1,1,0,0,0,0.0,0.0,0,0,0
1181,22,0,2016,qxy,0,stay,1,1,1,0,0,0,0.0,0.0,0,0,0
1181,22,0,2016,qxy,0,employable,1,1,1,1,1,378,126.0,37.8,378,1,1
1181,22,0,2016,qxy,1,It,1,1,1,0,0,0,0.0,0.0,-378,-1,-1
1181,22,0,2016,qxy,1,has,1,1,1,1,1,304,304.0,101.33333333333333,304,1,1
1181,22,0,2016,qxy,1,been,1,1,1,0,0,0,0.0,0.0,-304,-1,-1
1181,22,0,2016,qxy,1,estimated,1,1,1,1,2,710,177.5,78.88888888888889,710,2,1
1181,22,0,2016,qxy,1,that,1,1,1,0,0,0,0.0,0.0,-710,-2,-1
1181,22,0,2016,qxy,1,this,1,1,1,1,1,397,397.0,99.25,397,1,1
1181,22,0,2016,qxy,1,generation,1,1,1,2,4,912,228.0,91.2,515,3,1
1181,22,0,2016,qxy,1,due,1,1,1,0,0,0,0.0,0.0,-912,-4,-2
1181,22,0,2016,qxy,1,to,1,1,1,1,1,335,335.0,167.5,335,1,1
1181,22,0,2016,qxy,1,the,1,1,1,0,0,0,0.0,0.0,-335,-1,-1
1181,22,0,2016,qxy,1,pressures,1,1,1,1,1,497,248.5,55.22222222222222,497,1,1
1181,22,0,2016,qxy,1,of,1,1,1,0,0,0,0.0,0.0,-497,-1,-1
1181,22,0,2016,qxy,1,technology,1,1,1,0,0,0,0.0,0.0,0,0,0
1181,22,0,2016,qxy,1,the,1,1,1,0,0,0,0.0,0.0,0,0,0
1181,22,0,2016,qxy,1,wish,1,1,1,0,0,0,0.0,0.0,0,0,0
1181,22,0,2016,qxy,1,for,1,1,1,1,1,510,510.0,170.0,510,1,1
1181,22,0,2016,qxy,1,personal,1,1,1,0,0,0,0.0,0.0,-510,-1,-1
1181,22,0,2016,qxy,1,fulfilment,1,1,1,1,1,230,76.66666666666667,23.0,230,1,1
1181,22,0,2016,qxy,1,and,1,1,1,1,1,359,359.0,119.66666666666667,129,0,0
1181,22,0,2016,qxy,1,desire,1,1,1,0,0,0,0.0,0.0,-359,-1,-1
1181,22,0,2016,qxy,1,for,1,1,1,1,1,202,202.0,67.33333333333333,202,1,1
1181,22,0,2016,qxy,1,diversity,1,1,1,0,0,0,0.0,0.0,-202,-1,-1
1181,22,0,2016,qxy,1,will,1,1,1,1,1,460,460.0,115.0,460,1,1
1181,22,0,2016,qxy,1,work,1,1,1,1,1,213,213.0,53.25,-247,0,0
1181,22,0,2016,qxy,1,for,1,1,1,0,0,0,0.0,0.0,-213,-1,-1
1181,22,0,2016,qxy,1,17,1,1,1,0,0,0,0.0,0.0,0,0,0
1181,22,0,2016,qxy,1,different,1,1,1,0,0,0,0.0,0.0,0,0,0
1181,22,0,2016,qxy,1,employers,1,1,1,0,0,0,0.0,0.0,0,0,0
1181,22,0,2016,qxy,1,over,1,1,1,0,0,0,0.0,0.0,0,0,0
1181,22,0,2016,qxy,1,the,1,1,1,0,0,0,0.0,0.0,0,0,0
1181,22,0,2016,qxy,1,course,1,1,1,0,0,0,0.0,0.0,0,0,0
1181,22,0,2016,qxy,1,of,1,1,1,0,0,0,0.0,0.0,0,0,0
1181,22,0,2016,qxy,1,their,1,1,1,0,0,0,0.0,0.0,0,0,0
1181,22,0,2016,qxy,1,working,1,1,1,1,1,361,180.5,51.57142857142857,361,1,1
1181,22,0,2016,qxy,1,life,1,1,1,0,0,0,0.0,0.0,-361,-1,-1
1181,22,0,2016,qxy,1,and,1,1,1,0,0,0,0.0,0.0,0,0,0
1181,22,0,2016,qxy,1,have,1,1,1,1,1,223,223.0,55.75,223,1,1
1181,22,0,2016,qxy,1,five,1,1,1,0,0,0,0.0,0.0,-223,-1,-1
1181,22,0,2016,qxy,1,different,1,1,1,1,1,228,76.0,25.333333333333332,228,1,1
1181,22,0,2016,qxy,1,careers,1,1,1,1,2,593,296.5,84.71428571428571,365,1,0
1181,22,0,2016,qxy,2,Education,1,1,1,1,1,219,54.75,24.333333333333332,-374,-1,0
1181,22,0,2016,qxy,2,and,1,1,1,0,0,0,0.0,0.0,-219,-1,-1
1181,22,0,2016,qxy,2,not,1,1,1,2,2,760,760.0,253.33333333333334,760,2,2
1181,22,0,2016,qxy,2,just,1,1,1,0,0,0,0.0,0.0,-760,-2,-2
1181,22,0,2016,qxy,2,knowledge,1,1,1,2,3,793,396.5,88.11111111111111,793,3,2
1181,22,0,2016,qxy,2,gained,1,1,1,1,1,219,219.0,36.5,-574,-2,-1
1181,22,0,2016,qxy,2,on,1,1,1,0,0,0,0.0,0.0,-219,-1,-1
1181,22,0,2016,qxy,2,campus,1,1,1,1,1,200,100.0,33.333333333333336,200,1,1
1181,22,0,2016,qxy,2,will,1,1,1,0,0,0,0.0,0.0,-200,-1,-1
1181,22,0,2016,qxy,2,be,1,1,1,0,0,0,0.0,0.0,0,0,0
1181,22,0,2016,qxy,2,a,1,1,1,0,0,0,0.0,0.0,0,0,0
1181,22,0,2016,qxy,2,core,1,1,1,1,1,215,215.0,53.75,215,1,1
1181,22,0,2016,qxy,2,part,1,1,1,1,1,360,360.0,90.0,145,0,0
1181,22,0,2016,qxy,2,of,1,1,1,0,0,0,0.0,0.0,-360,-1,-1
1181,22,0,2016,qxy,2,Generation,1,1,1,1,1,224,56.0,22.4,224,1,1
1181,22,0,2016,qxy,2,Z's,1,1,1,1,1,248,248.0,82.66666666666667,24,0,0
1181,22,0,2016,qxy,2,career,1,1,1,0,0,0,0.0,0.0,-248,-1,-1
1181,22,0,2016,qxy,2,trajectory,0,1,1,1,3,1994,498.5,199.4,1994,3,1
1181,22,0,2016,qxy,3,Older,1,1,1,0,0,0,0.0,0.0,-1994,-3,-1
1181,22,0,2016,qxy,3,generations,1,1,1,0,0,0,0.0,0.0,0,0,0
1181,22,0,2016,qxy,3,often,1,1,1,0,0,0,0.0,0.0,0,0,0
1181,22,0,2016,qxy,3,talk,1,1,1,0,0,0,0.0,0.0,0,0,0
1181,22,0,2016,qxy,3,about,1,1,1,1,1,250,250.0,50.0,250,1,1
1181,22,0,2016,qxy,3,their,1,1,1,0,0,0,0.0,0.0,-250,-1,-1
1181,22,0,2016,qxy,3,degree,1,1,1,0,0,0,0.0,0.0,0,0,0
1181,22,0,2016,qxy,3,in,1,1,1,1,1,223,223.0,111.5,223,1,1
1181,22,0,2016,qxy,3,the,1,1,1,1,1,465,465.0,155.0,242,0,0
1181,22,0,2016,qxy,3,present,1,1,1,0,0,0,0.0,0.0,-465,-1,-1
1181,22,0,2016,qxy,3,and,1,1,1,0,0,0,0.0,0.0,0,0,0
1181,22,0,2016,qxy,3,personal,1,1,1,0,0,0,0.0,0.0,0,0,0
1181,22,0,2016,qxy,3,tense:,1,1,1,0,0,0,0.0,0.0,0,0,0
1181,22,0,2016,qxy,3,I,1,1,1,0,0,0,0.0,0.0,0,0,0
1181,22,0,2016,qxy,3,am,1,1,1,1,1,384,384.0,192.0,384,1,1
1181,22,0,2016,qxy,3,a,1,1,1,1,1,474,474.0,474.0,90,0,0
1181,22,0,2016,qxy,3,geographer,1,1,1,1,2,716,179.0,71.6,242,1,0
1181,22,0,2016,qxy,3,or,1,1,1,0,0,0,0.0,0.0,-716,-2,-1
1181,22,0,2016,qxy,3,I,1,1,1,0,0,0,0.0,0.0,0,0,0
1181,22,0,2016,qxy,3,am,1,1,1,0,0,0,0.0,0.0,0,0,0
1181,22,0,2016,qxy,3,a,1,1,1,0,0,0,0.0,0.0,0,0,0
1181,22,0,2016,qxy,3,classicist,1,1,1,1,1,674,224.66666666666666,67.4,674,1,1
1181,22,0,2016,qxy,4,Their,1,1,1,0,0,0,0.0,0.0,-674,-1,-1
1181,22,0,2016,qxy,4,sons,1,1,1,1,1,256,256.0,64.0,256,1,1
1181,22,0,2016,qxy,4,or,1,1,1,0,0,0,0.0,0.0,-256,-1,-1
1181,22,0,2016,qxy,4,daughters,1,1,1,0,0,0,0.0,0.0,0,0,0
1181,22,0,2016,qxy,4,would,1,1,1,0,0,0,0.0,0.0,0,0,0
1181,22,0,2016,qxy,4,never,1,1,1,1,2,586,293.0,117.2,586,2,1
1181,22,0,2016,qxy,4,say,1,1,1,0,0,0,0.0,0.0,-586,-2,-1
1181,22,0,2016,qxy,4,such,1,1,1,0,0,0,0.0,0.0,0,0,0
1181,22,0,2016,qxy,4,a,1,1,1,1,1,233,233.0,233.0,233,1,1
1181,22,0,2016,qxy,4,thing;,1,1,1,2,2,850,850.0,141.66666666666666,617,1,1
1181,22,0,2016,qxy,4,it's,1,1,1,0,0,0,0.0,0.0,-850,-2,-2
1181,22,0,2016,qxy,4,as,1,1,1,0,0,0,0.0,0.0,0,0,0
1181,22,0,2016,qxy,4,if,1,1,1,0,0,0,0.0,0.0,0,0,0
1181,22,0,2016,qxy,4,they,1,1,1,1,1,225,225.0,56.25,225,1,1
1181,22,0,2016,qxy,4,already,1,1,1,1,1,266,133.0,38.0,41,0,0
1181,22,0,2016,qxy,4,know,1,1,1,1,1,201,201.0,50.25,-65,0,0
1181,22,0,2016,qxy,4,that,1,1,1,1,1,318,318.0,79.5,117,0,0
